TimestampMicroSeconds,X,Y
21714137517,-0.795223,-0.250920
21714150786,-0.823170,-0.254525
21714167528,-0.850926,-0.252173
21714196887,-0.887277,-0.244846
21714212525,-0.901738,-0.241602
21714227530,-0.913453,-0.241228
21714257481,-0.932274,-0.238991
21714272520,-0.941474,-0.237440
21714285760,-0.949239,-0.236001
21714302555,-0.955783,-0.235715
21714317530,-0.960108,-0.237037
21714348617,-0.966291,-0.240246
21714375694,-0.968900,-0.243536
21714392462,-0.969653,-0.245464
21714420740,-0.915450,-0.349130
21714452540,-0.968249,-0.245573
21714465742,-0.913217,-0.351274
21714498598,-0.965598,-0.246649
21714510693,-0.911235,-0.358002
21714527523,-0.963170,-0.246619
21714542561,-0.962162,-0.247304
21714555709,-0.905721,-0.355446
21714572549,-0.958596,-0.244394
21714587521,-0.957195,-0.244321
21714600685,-0.901800,-0.353180
21714617563,-0.954619,-0.245049
21714646822,-0.896755,-0.342873
21714662522,-0.952358,-0.242263
21714677551,-0.953029,-0.241848
21714690691,-0.898298,-0.340675
21714707561,-0.955751,-0.242037
21714722525,-0.956688,-0.242527
21714735725,-0.898978,-0.338252
21714752511,-0.952804,-0.241422
21714767555,-1.004686,-0.145454
21714798628,-0.902065,-0.344044
21714825803,-0.901555,-0.343122
21714842545,-0.995969,-0.141572
21714870795,-0.902065,-0.338449
21714887517,-0.994200,-0.143341
21714902548,-0.993960,-0.141950
21714915771,-0.900866,-0.338835
21714948631,-0.946703,-0.238297
21714960812,-0.900272,-0.338775
21714977558,-0.991801,-0.142865
21714992536,-0.946301,-0.243155
21715005807,-0.902884,-0.342407
21715022547,-0.988161,-0.143296
21715037543,-0.945581,-0.243112
21715050777,-0.904373,-0.345595
21715067561,-0.985130,-0.140159
21715096838,-0.905480,-0.347948
21715112527,-0.980928,-0.137022
21715127511,-0.941476,-0.241373
21715140801,-0.902243,-0.347208
21715157489,-0.977639,-0.136166
21715185796,-0.900463,-0.350823
21715202561,-0.973015,-0.142816
21715217510,-0.935642,-0.247287
21715262569,-0.932203,-0.249420
21715275798,-0.897185,-0.352152
21715292518,-0.930529,-0.248477
21715307544,-0.930056,-0.247696
21715320766,-0.896614,-0.344786
21715337531,-0.929278,-0.241228
21715352535,-0.927830,-0.239551
21715365793,-0.887675,-0.336210
21715398572,-0.922622,-0.235164
21715410720,-0.879726,-0.334311
21715427544,-0.917204,-0.236327
21715442510,-0.873587,-0.338801
21715472534,-0.868861,-0.342279
21715487529,-0.905813,-0.248716
21715500722,-0.861782,-0.347156
21715546810,-0.853047,-0.351187
21715577503,-0.899866,-0.225886
21715590688,-0.846750,-0.355338
21715622507,-0.900916,-0.207085
21715635720,-0.843968,-0.355897
21715667509,-0.892727,-0.204094
21715698565,-0.909969,-0.055934
21715725728,-0.810675,-0.346212
21715742507,-0.833672,-0.061389
21715770727,-0.743810,-0.326293
21715787539,-0.783627,-0.067399
21715815738,-0.700157,-0.310730
21715848611,-0.712850,-0.189996
21715860799,-0.671803,-0.303228
21715877530,-0.695325,-0.187412
21715892556,-0.687824,-0.185628
21715905802,-0.643947,-0.296713
21715922515,-0.683374,-0.183946
21715937476,-0.694468,-0.182791
21715950765,-0.657607,-0.297372
21715967486,-0.731899,-0.180880
21716012460,-0.764930,-0.178569
21716027497,-0.774217,-0.179211
21716040828,-0.732460,-0.296955
21716072387,-0.793305,-0.184191
21716085762,-0.751382,-0.302199
21716102395,-0.757264,-0.305157
21716117383,-0.762432,-0.307168
21716148471,-0.815800,-0.192255
21716175745,-0.773964,-0.311314
21716192375,-0.823921,-0.193057
21716220768,-0.778132,-0.314425
21716237412,-0.829135,-0.194845
21716252453,-0.829380,-0.198820
21716265746,-0.780601,-0.316965
21716298467,-0.831011,-0.203331
21716310670,-0.782129,-0.319544
21716327523,-0.832433,-0.207506
21716342449,-0.833669,-0.209256
21716355815,-0.785383,-0.321702
21716372493,-0.786445,-0.322696
21716387462,-0.787009,-0.323898
21716400773,-0.787470,-0.324878
21716417519,-0.827482,-0.211761
21716446773,-0.776891,-0.327184
21716462539,-0.819353,-0.213001
21716477533,-0.814507,-0.215244
21716490791,-0.763665,-0.330190
21716507517,-0.807976,-0.218799
21716522495,-0.805016,-0.221820
21716535705,-0.750159,-0.331942
21716552482,-0.796681,-0.225796
21716567415,-0.792830,-0.227199
21716598544,-0.787986,-0.228531
21716625784,-0.729508,-0.334957
21716642469,-0.796253,-0.219396
21716657537,-0.829662,-0.219728
21716670728,-0.795306,-0.337018
21716687469,-0.884139,-0.218335
21716702559,-0.905001,-0.219193
21716715709,-0.919946,-0.219900
21716748525,-0.949137,-0.221390
21716760715,-0.897993,-0.342190
21716777444,-1.030956,-0.101389
21716792399,-0.976717,-0.222678
21716805649,-0.918557,-0.346643
21716822386,-1.047680,-0.108102
21716837391,-0.987258,-0.235519
21716850662,-0.923863,-0.359006
21716896804,-0.930836,-0.361477
21716940741,-1.003931,-0.245936
21716985732,-0.953703,-0.357373
21717002479,-0.997250,-0.251021
21717017446,-0.990328,-0.249447
21717048521,-0.972605,-0.261156
21717062508,-0.967514,-0.263466
21717075721,-0.921264,-0.357682
21717092481,-0.954625,-0.261055
21717107534,-0.949179,-0.260210
21717120793,-0.896872,-0.359771
21717137422,-0.939089,-0.259959
21717152457,-0.935271,-0.259156
21717165782,-0.882161,-0.361028
21717346805,-0.877196,-0.358389
21717362489,-0.936801,-0.255296
21717390650,-0.878973,-0.357641
21717422481,-0.941829,-0.245883
21717435649,-0.880579,-0.363524
21717452520,-0.942756,-0.245216
21717467468,-0.943038,-0.245452
21717498567,-0.943574,-0.246997
21717512465,-0.943620,-0.248185
21717525645,-0.883160,-0.372791
21717542461,-0.942959,-0.250760
21717557427,-0.942769,-0.251619
21717570636,-0.942518,-0.251889
21717587454,-0.942156,-0.251940
21717602533,-0.942010,-0.251972
21717615646,-0.880815,-0.378777
21717648554,-0.942712,-0.252693
21717660634,-0.882355,-0.380750
21717677473,-0.942906,-0.253027
21717705598,-0.884628,-0.379562
21717722438,-0.944680,-0.248487
21717750613,-0.888092,-0.379213
21717767509,-0.948208,-0.245654
21717812468,-0.947480,-0.244501
21717840704,-0.891003,-0.383275
21717857468,-0.945100,-0.247094
21717872493,-0.943707,-0.249715
21717885657,-0.885734,-0.391727
21717902468,-0.941653,-0.253342
21717917500,-0.941699,-0.252943
21717948591,-0.941781,-0.251934
21717962495,-0.940987,-0.252828
21717975663,-0.882687,-0.394090
21717992461,-0.939043,-0.254132
21718007466,-0.938064,-0.255257
21718020657,-0.878808,-0.396375
21718037496,-0.936779,-0.255370
21718052466,-0.936516,-0.254768
21718065680,-0.876465,-0.397774
21718262427,-0.981710,-0.155484
21718277461,-0.934094,-0.249383
