TimestampMicroSeconds,X,Y,UpdateCycle
25423877760,-0.733449,-0.039943,165
25423891006,-0.733695,-0.040489,166
25423907732,-0.733872,-0.041803,167
25423937063,-0.714692,-0.102097,169
25423952734,-0.727685,-0.043446,170
25423967763,-0.719239,-0.040152,171
25423981000,-0.711550,-0.037674,172
25423997720,-0.702955,-0.034795,173
25424012728,-0.695789,-0.033625,174
25424025998,-0.670149,-0.110423,175
25424042738,-0.682764,-0.032250,176
25424057732,-0.677255,-0.030491,177
25424088820,-0.669495,-0.027175,179
25424102719,-0.667110,-0.025864,180
25424115969,-0.664874,-0.023983,180
25424132751,-0.662091,-0.022520,182
25424147783,-0.659239,-0.020832,183
25424160993,-0.656772,-0.019191,183
25424177731,-0.653417,-0.017525,185
25424192729,-0.650694,-0.016879,186
25424205949,-0.648223,-0.016335,186
25424238832,-0.646373,-0.015386,188
25424250862,-0.646841,-0.017716,189
25424267682,-0.651427,-0.022349,190
25424282717,-0.656672,-0.026512,191
25424295928,-0.661486,-0.026607,192
25424312729,-0.667472,-0.026510,193
25424327763,-0.671828,-0.025929,194
25424340981,-0.676520,-0.023946,195
25424357750,-0.681563,-0.021217,196
25424387036,-0.716156,0.073888,198
25424402761,-0.690998,-0.015343,199
25424417759,-0.694180,-0.013859,200
25424430948,-0.696727,-0.012662,201
25424447730,-0.698563,-0.011761,202
25424462779,-0.699445,-0.013306,203
25424475907,-0.700765,-0.014036,204
25424492751,-0.702453,-0.014895,205
25424507676,-0.703111,-0.015535,206
25424538736,-0.705544,-0.016608,208
25424552727,-0.707141,-0.015378,209
25424565940,-0.708269,-0.014955,210
25424582699,-0.708041,-0.016415,211
25424597715,-0.707146,-0.018039,212
25424610851,-0.707120,-0.017748,212
25424627766,-0.709984,-0.018642,214
25424642765,-0.714844,-0.021966,215
25424655968,-0.720683,-0.028108,215
25424688836,-0.729224,-0.038118,218
25424700992,-0.731665,-0.042239,218
25424717757,-0.734245,-0.047554,219
25424732746,-0.736959,-0.051449,220
25424746006,-0.738944,-0.054992,221
25424762769,-0.741217,-0.058260,222
25424777718,-0.743930,-0.057900,223
25424790930,-0.745283,-0.060058,224
25424807753,-0.746957,-0.064005,225
25424836961,-0.748849,-0.066336,227
25424852717,-0.749715,-0.067935,228
25424867750,-0.750200,-0.069307,229
25424880934,-0.751339,-0.069037,230
25424897730,-0.752433,-0.068387,231
25424912722,-0.753304,-0.066820,232
25424925963,-0.754036,-0.065028,233
25424942754,-0.754674,-0.066481,234
25424957726,-0.754819,-0.067837,235
25424988798,-0.756055,-0.066751,237
25425002752,-0.756381,-0.065357,238
25425015940,-0.756632,-0.064649,239
