TimestampMicroSeconds,X,Y
28016001045,-0.588862,0.133241
28016016056,-0.588749,0.125569
28016047117,-0.587306,0.108418
28016061060,-0.587668,0.106147
28016074738,-0.539343,0.021945
28016090998,-0.588479,0.101730
28016106049,-0.589442,0.100189
28016119730,-0.590287,0.099468
28016135990,-0.591138,0.098178
28016151035,-0.591673,0.098496
28016164695,-0.592465,0.098567
28016197079,-0.594342,0.103474
28016209741,-0.595015,0.105235
28016226044,-0.595766,0.105410
28016241062,-0.596283,0.105918
28016254726,-0.596303,0.105994
28016271042,-0.595710,0.106526
28016286069,-0.595192,0.106401
28016299732,-0.595438,0.106378
28016316058,-0.595654,0.106143
28016345776,-0.595348,0.107782
28016361036,-0.592034,0.108285
28016376002,-0.593441,0.156281
28016389692,-0.553101,0.116909
28016406073,-0.554916,0.165088
28016421137,-0.595109,0.264643
28016434667,-0.556919,0.239043
28016451035,-0.557515,0.267207
28016466034,-0.595758,0.333830
28016497125,-0.564173,0.333041
28016511040,-0.573561,0.366437
28016524782,-0.610663,0.441766
28016541038,-0.614257,0.488084
28016555978,-0.636780,0.542770
28016569755,-0.642084,0.542475
28016586051,-0.675125,0.625841
28016601067,-0.692229,0.664502
28016614673,-0.689472,0.659491
28016647175,-0.710206,0.684033
28016659736,-0.712096,0.713766
28016676073,-0.720390,0.699287
28016691057,-0.722223,0.718327
28016704758,-0.717585,0.739317
28016721065,-0.702999,0.761383
28016736029,-0.685274,0.780688
28016749706,-0.671645,0.793323
28016795743,-0.637284,0.819688
28016839666,-0.603778,0.839663
28016901030,-0.447315,0.811349
28016916034,-0.418113,0.804370
28016947101,-0.372844,0.791646
28016960973,-0.355366,0.785879
28016974630,-0.341499,0.781107
28016990961,-0.324467,0.779273
28017006119,-0.312430,0.780565
28017019615,-0.302752,0.783718
28017036073,-0.294456,0.793945
28017051051,-0.287842,0.801372
28017064595,-0.282930,0.807115
28017097134,-0.354845,0.738490
28017109670,-0.354127,0.719175
28017126025,-0.360264,0.660659
28017141079,-0.372608,0.580717
28017154716,-0.385222,0.491203
28017171046,-0.403069,0.374737
28017186022,-0.474203,0.289748
28017199714,-0.385788,0.168379
28017216022,-0.463058,0.062107
28017245818,-0.501229,-0.136999
28017261062,-0.543434,-0.150767
28017289727,-0.537997,-0.292560
28017306045,-0.572708,-0.261368
28017321029,-0.560835,-0.358629
28017334728,-0.570986,-0.382321
28017351012,-0.610148,-0.340766
28017366043,-0.588082,-0.427279
28017397096,-0.635473,-0.382948
28017411041,-0.606562,-0.452940
28017424695,-0.610669,-0.458371
28017441002,-0.621393,-0.484393
28017456094,-0.658918,-0.525563
28017469671,-0.687591,-0.554816
28017486048,-0.716667,-0.584845
28017501046,-0.738576,-0.605506
28017514700,-0.754048,-0.621599
28017547098,-0.779817,-0.649678
28017559670,-0.790513,-0.655725
28017575978,-0.842370,-0.572208
28017591016,-0.806149,-0.676754
28017604640,-0.811664,-0.686046
28017621051,-0.854514,-0.613567
28017636043,-0.820476,-0.699679
28017649671,-0.823856,-0.703291
28017666056,-0.827124,-0.706764
28017695647,-0.833445,-0.712182
28017711015,-0.846280,-0.716536
28017726027,-0.863576,-0.721979
28017739523,-0.830041,-0.820492
28017756011,-0.890427,-0.729494
28017771042,-0.901483,-0.732769
28017784568,-0.863034,-0.827367
28017801013,-0.871965,-0.829423
28017816013,-0.924831,-0.739831
28017847134,-0.935016,-0.742419
28017860960,-0.939242,-0.743114
28017874563,-0.892519,-0.837300
28017891093,-0.946020,-0.746920
28017906014,-0.948740,-0.749133
28017919605,-0.897698,-0.842496
28017936053,-0.954130,-0.752557
28017951015,-0.956297,-0.753636
28017964607,-0.902223,-0.846741
28017997104,-0.962201,-0.753768
28018009609,-0.905746,-0.847675
28018025918,-0.965776,-0.754447
28018041079,-0.966886,-0.754715
28018054581,-0.910560,-0.846697
28018071018,-0.969193,-0.755287
28018086044,-0.970093,-0.755943
28018099592,-0.914562,-0.849759
28018116005,-0.971769,-0.758845
28018145681,-0.973672,-0.761130
28018161009,-0.968379,-0.766221
28018176063,-0.962915,-0.727391
28018189577,-0.963238,-0.621545
28018206042,-0.964868,-0.454222
28018221013,-0.966840,-0.301427
28018234537,-0.934554,-0.265161
28018251038,-0.969842,-0.119082
28018266009,-0.970594,-0.070598
28018297104,-0.974817,0.018715
28018310940,-0.975877,0.046983
28018324537,-0.940425,-0.011613
28018341022,-0.977550,0.086111
28018356066,-0.977984,0.118273
28018369570,-0.978087,0.141428
28018386007,-1.010250,0.268646
28018401026,-0.978531,0.315093
28018414552,-0.946766,0.331531
28018447116,-0.980548,0.452185
28018459444,-0.947465,0.396101
28018476010,-0.975903,0.516717
28018491021,-0.973451,0.539326
28018504486,-0.939125,0.491932
28018521002,-0.973484,0.600824
28018536030,-0.973876,0.621958
28018549442,-0.940542,0.559224
28018566002,-1.006616,0.731818
28018595483,-0.941723,0.584032
28018611014,-1.002886,0.753674
28018626010,-0.971198,0.675192
28018639431,-0.938283,0.586980
28018655995,-0.995969,0.746951
28018671074,-0.897519,0.561634
28018684465,-0.833362,0.430111
28018701009,-0.770330,0.312007
28018715985,-0.725249,0.228151
28018747088,-0.669318,0.130296
28018761010,-0.648767,0.099167
28018774368,-0.633282,0.076495
28018791065,-0.615855,0.053625
28018806088,-0.602882,0.035475
28018819365,-0.553023,-0.050608
28018835982,-0.586379,0.015837
28018851039,-0.581713,0.011296
28018864366,-0.578078,0.007803
28018897140,-0.569144,0.000927
28018909528,-0.566487,-0.000993
28018926019,-0.595550,0.047052
28018941099,-0.558796,-0.029762
28018954511,-0.554985,-0.069200
28018971012,-0.553523,-0.114630
28018986023,-0.551583,-0.134018
28018999555,-0.551798,-0.150519
28019015996,-0.552421,-0.166743
28019045730,-0.522547,-0.248369
28019061021,-0.548802,-0.204287
28019075974,-0.546504,-0.219111
28019089620,-0.545152,-0.230322
28019105998,-0.545323,-0.243603
28019120974,-0.545351,-0.269253
28019134616,-0.548362,-0.292386
28019150952,-0.554421,-0.332531
28019166015,-0.559803,-0.360563
28019197060,-0.569639,-0.395298
28019210940,-0.574169,-0.410330
28019224607,-0.577945,-0.424921
28019241010,-0.583359,-0.436469
28019256014,-0.585708,-0.448711
28019269575,-0.588129,-0.457230
28019286019,-0.590750,-0.469232
28019301014,-0.593678,-0.475196
28019314567,-0.596291,-0.480229
28019347100,-0.601490,-0.488206
28019359623,-0.603136,-0.491003
28019375984,-0.606489,-0.493876
28019390985,-0.614024,-0.495473
28019404628,-0.623777,-0.497220
28019420992,-0.635541,-0.500107
28019435984,-0.644906,-0.502526
28019449622,-0.653024,-0.504135
28019465982,-0.660967,-0.506624
28019495665,-0.671693,-0.509827
28019510987,-0.676073,-0.510735
28019526016,-0.679514,-0.511428
28019539586,-0.682316,-0.511859
28019555972,-0.686059,-0.513468
28019571012,-0.688503,-0.514262
28019584521,-0.690680,-0.516399
28019600987,-0.692837,-0.519034
28019616013,-0.694778,-0.520139
28019647101,-0.699434,-0.517994
28019660920,-0.700744,-0.518152
28019674599,-0.701134,-0.518764
28019690925,-0.701827,-0.521623
28019706031,-0.702263,-0.523599
28019719614,-0.701563,-0.524233
28019736003,-0.701143,-0.525544
28019750971,-0.701273,-0.528259
28019764620,-0.701925,-0.530188
28019797052,-0.706043,-0.531760
28019809532,-0.709163,-0.531330
28019826030,-0.717058,-0.528555
28019841036,-0.728159,-0.526254
28019854567,-0.737370,-0.523553
28019871022,-0.746205,-0.523625
28019886020,-0.752546,-0.525113
28019899572,-0.756810,-0.527139
28019915983,-0.761750,-0.529058
28019945665,-0.768354,-0.531665
28019961019,-0.772563,-0.530764
28019976046,-0.775737,-0.529779
28019989551,-0.777606,-0.529965
28020005909,-0.779431,-0.531368
28020021033,-0.781743,-0.532514
28020034543,-0.783586,-0.533554
28020050970,-0.785038,-0.535976
28020065976,-0.787087,-0.537134
28020097061,-0.742048,-0.605781
28020110937,-0.791392,-0.539017
28020124595,-0.793925,-0.538458
28020141001,-0.796936,-0.537435
28020155966,-0.798933,-0.536723
28020169562,-0.801172,-0.535134
28020185873,-0.801599,-0.538990
28020201079,-0.802338,-0.550509
28020214596,-0.758081,-0.633152
28020247008,-0.850036,-0.516988
28020259593,-0.808316,-0.631863
28020275968,-0.804850,-0.869850
28020291013,-0.799233,-1.229352
